draft_age,draft_pick,draft_year,entry,games,played_until,player,player_id,plus_minus,point_share,points,position,team,team_id
18,20,1983,20,69,1988,David Jensen,jenseda03,-10,0.3,22,C,Hartford Whalers,DAL
18,22,1982,22,381,1994,Brian Curran,currabr01,-14,13.2,40,D,Boston Bruins,BOS
,25,1981,25,,,Kevin Griffin,,,,,LW,Chicago Blackhawks,PHX
19,30,1980,30,135,1986,Ken Solheim,solheke01,-26,-0.1,39,LW,Chicago Blackhawks,MTL
19,39,1979,39,77,1983,Stu Smith,smithst03,-36,1.6,12,D,Hartford Whalers,NJD
18,15,1987,15,1378,2009,Joe Sakic,sakicjo01,30,167.8,1641,C,Quebec Nordiques,BUF
18,2,1995,2,1023,2013,Wade Redden,reddewa01,160,95.0,457,D,New York Islanders,OTT
18,4,1993,4,989,2010,Paul Kariya,kariypa01,31,109.3,989,LW,Anaheim Ducks,OTT
18,3,1994,3,969,2009,Radek Bonk,bonkra01,-22,45.0,497,C,Ottawa Senators,FLA
18,6,1992,6,1025,2011,Cory Stillman,stillco01,-20,73.7,727,LW,Calgary Flames,TBL
18,9,1990,9,268,2004,John Slaney,slanejo01,-26,14.8,91,D,Washington Capitals,COL
18,11,1989,11,1049,2009,Mike Sillinger,sillimi01,-191,40.9,548,C,Detroit Red Wings,COL
18,8,1991,8,796,2007,Richard Matvichuk,matviri01,46,50.7,178,D,Minnesota North Stars,COL
18,10,1986,10,598,1998,Jocelyn Lemieux,lemiejo01,-38,3.8,164,RW,St. Louis Blues,DET
18,13,1988,13,3,1991,Joel Savage,savagjo01,-2,-0.1,1,RW,Buffalo Sabres,DAL
,17,1985,17,,,Chris Biotti,,,,,D,Calgary Flames,TOR
18,19,1984,19,76,1989,Dave Pasin,pasinda01,-2,1.7,37,RW,Boston Bruins,PIT
18,21,1983,21,309,1992,Nevin Markwart,markwne01,-6,2.8,109,LW,Boston Bruins,DAL
18,23,1982,23,22,1987,Yves Courteau,courtyv01,-4,-0.1,7,RW,Detroit Red Wings,BOS
18,26,1981,26,51,1992,Rich Chernomaz,chernri01,-23,-0.1,16,RW,Colorado Rockies,PHX
18,31,1980,31,2,1981,Tony Curtale,curtato01,-1,0.0,0,D,Calgary Flames,MTL
20,40,1979,40,1009,1994,Dave Christian,chrisda01,-64,54.4,773,RW,Winnipeg Jets,NJD
18,16,1987,16,926,2006,Bryan Marchment,marchbr02,31,47.4,182,D,Winnipeg Jets,BUF
18,1,1996,1,1179,2015,Chris Phillips,phillch02,67,64.6,288,D,Ottawa Senators,OTT
